cluster_id,catalog,ra_deg,dec_deg,z,M500c_Msun,M500c_method,R500c_Mpc,TX_keV,Mgas_Msun,Y500_arcmin2,ICM_proxy_type,Ethermal_c2_Msun,dynamical_state,merger_exclusion_flag,merger_exclusion_reason,source_url
J0017.5-3509,MCXC-I,4.390416666666666,-35.165,0.0968,1.5291e+14,X-ray_Lx_scaling,0.7883,,,,not_available,,unknown,False,,https://cdsarc.u-strasbg.fr/viz-bin/cat/J/A+A/534/A109
J0018.5+1626,MCXC-I,4.640833333333332,16.438055555555557,0.5456,7.7847e+14,X-ray_Lx_scaling,1.1477,,,0.0033698800000000004,Y_SZ_derived_LCDM,3442506453.222508,unknown,False,,https://cdsarc.u-strasbg.fr/viz-bin/cat/J/A+A/534/A109
J0019.0-2026,MCXC-I,4.766249999999999,-20.438055555555557,0.2773,4.7634003e+14,X-ray_Lx_scaling,1.0807,,,0.003273272,Y_SZ_derived_LCDM,1462258158.0156605,unknown,False,,https://cdsarc.u-strasbg.fr/viz-bin/cat/J/A+A/534/A109
J0019.6+2517,MCXC-I,4.912916666666666,25.290833333333335,0.1353,2.3266e+14,X-ray_Lx_scaling,0.8951,,,0.002428331,Y_SZ_derived_LCDM,351717525.26276255,unknown,False,,https://cdsarc.u-strasbg.fr/viz-bin/cat/J/A+A/534/A109
J0020.1+0005,MCXC-I,5.044583333333332,0.09166666666666666,0.2124,1.3975001e+14,X-ray_Lx_scaling,0.7352,,,,not_available,,unknown,False,,https://cdsarc.u-strasbg.fr/viz-bin/cat/J/A+A/534/A109
J0020.5-4913,MCXC-I,5.142083333333332,-49.22777777777778,0.0711,8.73e+13,X-ray_Lx_scaling,0.6595,,,,not_available,,unknown,False,,https://cdsarc.u-strasbg.fr/viz-bin/cat/J/A+A/534/A109
J0020.6+2840,MCXC-I,5.170416666666665,28.675,0.094,2.3889999e+14,X-ray_Lx_scaling,0.9156,,,0.005797399999999999,Y_SZ_derived_LCDM,445532753.342484,unknown,False,,https://cdsarc.u-strasbg.fr/viz-bin/cat/J/A+A/534/A109
J0020.7-2542,MCXC-I,5.178333333333333,-25.710277777777776,0.141,3.5275e+14,X-ray_Lx_scaling,1.0263,,,0.002160938,Y_SZ_derived_LCDM,335565828.41261476,unknown,False,,https://cdsarc.u-strasbg.fr/viz-bin/cat/J/A+A/534/A109
J0021.5+2803,MCXC-I,5.399583333333332,28.05138888888889,0.0948,1.8782001e+14,X-ray_Lx_scaling,0.8448,,,0.00280627,Y_SZ_derived_LCDM,218942918.42516878,unknown,False,,https://cdsarc.u-strasbg.fr/viz-bin/cat/J/A+A/534/A109
J0022.0+0422,MCXC-I,5.514166666666666,4.377222222222222,0.407,1.0815e+14,X-ray_Lx_scaling,0.6277,,,,not_available,,unknown,False,,https://cdsarc.u-strasbg.fr/viz-bin/cat/J/A+A/534/A109
J0023.1+0421,MCXC-I,5.7749999999999995,4.35361111111111,0.453,1.2496001e+14,X-ray_Lx_scaling,0.6469,,,,not_available,,unknown,False,,https://cdsarc.u-strasbg.fr/viz-bin/cat/J/A+A/534/A109
J0024.0-1704,MCXC-I,6.015,-17.075555555555557,0.189,2.2757002e+14,X-ray_Lx_scaling,0.8722,,,,not_available,,unknown,False,,https://cdsarc.u-strasbg.fr/viz-bin/cat/J/A+A/534/A109
J0024.5+3312,MCXC-I,6.1325,33.20861111111111,0.226,3.3939e+14,X-ray_Lx_scaling,0.9834,,,,not_available,,unknown,False,,https://cdsarc.u-strasbg.fr/viz-bin/cat/J/A+A/534/A109
J0025.4-1222,MCXC-I,6.3725,-12.376944444444446,0.5843,4.6232e+14,X-ray_Lx_scaling,0.95,,,,not_available,,unknown,False,,https://cdsarc.u-strasbg.fr/viz-bin/cat/J/A+A/534/A109
J0025.5-3302,MCXC-I,6.385,-33.04722222222222,0.0491,1.2871999e+14,X-ray_Lx_scaling,0.7559,,,0.006065367,Y_SZ_derived_LCDM,141350501.25480834,unknown,False,,https://cdsarc.u-strasbg.fr/viz-bin/cat/J/A+A/534/A109
J0026.7+0501,MCXC-I,6.699166666666666,5.023888888888889,0.2529,8.595e+13,X-ray_Lx_scaling,0.6162,,,,not_available,,unknown,False,,https://cdsarc.u-strasbg.fr/viz-bin/cat/J/A+A/534/A109
J0027.3-5015,MCXC-I,6.838749999999999,-50.25111111111111,0.1448,2.9603e+14,X-ray_Lx_scaling,0.9668,,,0.0036464040000000002,Y_SZ_derived_LCDM,592080243.8821437,unknown,False,,https://cdsarc.u-strasbg.fr/viz-bin/cat/J/A+A/534/A109
J0027.8+2616,MCXC-I,6.957499999999999,26.273888888888887,0.3668,5.6843e+14,X-ray_Lx_scaling,1.1083,,,0.005133482,Y_SZ_derived_LCDM,3340946770.641666,unknown,False,,https://cdsarc.u-strasbg.fr/viz-bin/cat/J/A+A/534/A109
J0028.6-2338,MCXC-I,7.163749999999999,-23.63722222222222,0.112,2.3285e+14,X-ray_Lx_scaling,0.9024,,,0.0028140160000000003,Y_SZ_derived_LCDM,294519923.4304918,unknown,False,,https://cdsarc.u-strasbg.fr/viz-bin/cat/J/A+A/534/A109
J0029.0+0742,MCXC-I,7.255416666666665,7.703333333333333,0.17,1.653e+14,X-ray_Lx_scaling,0.7892,,,,not_available,,unknown,False,,https://cdsarc.u-strasbg.fr/viz-bin/cat/J/A+A/534/A109
J0029.8+1330,MCXC-I,7.4608333333333325,13.50388888888889,0.251,1.511e+14,X-ray_Lx_scaling,0.7442,,,,not_available,,unknown,False,,https://cdsarc.u-strasbg.fr/viz-bin/cat/J/A+A/534/A109
J0030.5+2618,MCXC-I,7.639999999999999,26.304444444444446,0.5,2.6037e+14,X-ray_Lx_scaling,0.8112,,,,not_available,,unknown,False,,https://cdsarc.u-strasbg.fr/viz-bin/cat/J/A+A/534/A109
J0030.6-2410,MCXC-I,7.656666666666666,-24.18138888888889,0.1382,1.6278e+14,X-ray_Lx_scaling,0.7938,,,,not_available,,unknown,False,,https://cdsarc.u-strasbg.fr/viz-bin/cat/J/A+A/534/A109
