arm,verdict,rms_csv_k,rms_indep_k,label,mcmc
Arm A: D_csv,PASS,14.102525152539796,8.530660327020929,NOT_VALIDATION,False
Arm B: D_eff gamma=2.27,PASS,35.50708283577193,7.508273025927828,NOT_VALIDATION,False
