candidate,parameters,MAE,RMSE,max_error,max_error_at_z,matches_0.1,matches_1.0,best_z,best_error,worst_z,worst_error
Linear Hubble (diagnostic),"H0=67.4, power=1.0",59.093,90.132,241.800,8.500,1,1,0.000,0.000,8.500,241.800
"WMAP-like (H0=70.0, Ωm=0.27)","H0=70.0, Ωm=0.27, ΩΛ=0.73",103.848,213.151,668.217,8.500,0,0,0.000,2.600,8.500,668.217
"Planck-like (H0=67.4, Ωm=0.315)","H0=67.4, Ωm=0.315, ΩΛ=0.685",110.286,227.267,710.549,8.500,1,1,0.000,0.000,8.500,710.549
Radiation-included,"H0=67.4, Ωr=9e-5, Ωm=0.315, ΩΛ=0.685",110.484,227.723,712.049,8.500,1,1,0.000,0.003,8.500,712.049
"SH0ES/Riess (H0=73.0, Ωm=0.3)","H0=73.0, Ωm=0.3, ΩΛ=0.7",125.365,248.928,773.855,8.500,0,0,0.000,5.600,8.500,773.855
Einstein-de Sitter (Ωm=1),"H0=67.4, Ωm=1.0, ΩΛ=0.0",275.373,520.450,1575.037,8.500,1,1,0.000,0.000,8.500,1575.037
