psz2_name,ra_deg,dec_deg,z,sigma_v,M500_dyn,name_norm,TX_keV,R500_arcmin,sigma_v_m_s,Ti_from_sigma,Ti_from_TX,Ti_best
PSZ2 G046.88+56.48,231.03408813477,29.88514518738,0.11398325959637996,1068.311932278373,973677683556597.5,PSZ2G046.88+56.48,5.66,9.4,1068311.932278373,18520816299.830414,1143507755.6721995,1143507755.6721995
PSZ2 G048.10+57.16,230.28479003906,30.63544273376,0.07814973017858945,822.6636140437081,434022505684677.44,PSZ2G048.10+57.16,,,822663.6140437081,4895596073.107559,,4895596073.107559
PSZ2 G049.22+30.87,260.04110717773,26.62528800964,0.16025820086591183,1048.7260491912048,881381989968238.2,PSZ2G049.22+30.87,,,1048726.0491912048,16156118600.860254,,16156118600.860254
PSZ2 G049.32+44.37,245.12872314453,29.89178466797,0.0963214592276674,800.1335339884466,407839995516952.3,PSZ2G049.32+44.37,,,800133.5339884466,4351745686.752941,,4351745686.752941
PSZ2 G050.40+31.17,260.03576660156,27.67053413391,0.16047172883779637,942.5908659832556,630469362476678.6,PSZ2G050.40+31.17,4.82,6.4,942590.8659832557,9335964476.983932,630548493.3533869,630548493.3533869
PSZ2 G053.53+59.52,227.55247497559,33.50831222534,0.1138072831387251,1069.000090501214,899608915780156.1,PSZ2G053.53+59.52,,,1069000.090501214,17133969304.543644,,17133969304.543644
PSZ2 G055.59+31.85,260.61343383789,32.13236618042,0.2258603696371443,1052.4596755071384,895540391835239.9,PSZ2G055.59+31.85,,,1052459.6755071385,16532740857.209879,,16532740857.209879
PSZ2 G056.77+36.32,255.67736816406,34.06006240845,0.09889662519250712,1123.4528331418203,1076659543337988.2,PSZ2G056.77+36.32,5.3,10.53,1123452.8331418203,22648363747.459602,1184027340.847861,1184027340.847861
PSZ2 G056.93-55.08,340.84146118164,-9.59538078308,0.44615965824104725,1062.206232714494,644187294823307.8,PSZ2G056.93-55.08,8.21,3.7,1062206.232714494,12113749690.657494,1097394500.1208947,1097394500.1208947
PSZ2 G057.25-45.34,332.94061279297,-3.82943725586,0.39742237318401946,1531.6169013333765,2527097570659340.5,PSZ2G057.25-45.34,,,1531616.9013333765,98803211271.0823,,98803211271.0823
PSZ2 G057.61+34.93,257.44604492188,34.45389175415,0.08476565789372542,1009.5870393479817,790281959065833.5,PSZ2G057.61+34.93,,,1009587.0393479817,13425125390.028767,,13425125390.028767
PSZ2 G057.78+52.32,236.24583435059,36.11130523682,0.0660545629741497,807.0267483168778,406783508434851.56,PSZ2G057.78+52.32,3.53,12.15,807026.7483168779,4415581915.754409,297951454.7405964,297951454.7405964
PSZ2 G062.46-21.35,316.22210693359,14.02475643158,0.20232069039370676,785.313446633491,328091139240009.7,PSZ2G062.46-21.35,,,785313.4466334911,3372324197.3626294,,3372324197.3626294
PSZ2 G066.68+68.44,215.41828918457,37.29169845581,0.16249728822020862,834.3493320286367,445740893434879.5,PSZ2G066.68+68.44,,,834349.3320286367,5171625569.478453,,5171625569.478453
PSZ2 G067.17+67.46,216.50846862793,37.82597732544,0.16731930567205894,1081.4818264921034,968984685970813.6,PSZ2G067.17+67.46,,,1081481.8264921035,18888788975.45179,,18888788975.45179
PSZ2 G067.52+34.75,259.32916259766,42.44979858398,0.1819394963558369,1043.5225585379358,867442282703269.2,PSZ2G067.52+34.75,,,1043522.5585379357,15743200304.909855,,15743200304.909855
PSZ2 G068.22+15.18,284.40676879883,38.008644104,0.05309938249541652,703.9847221112668,239132332498528.7,PSZ2G068.22+15.18,,,703984.7221112668,1975211101.9979076,,1975211101.9979076
PSZ2 G071.63+29.78,266.81228637695,45.22136688232,0.15735566464098996,851.995838541198,480542744751571.06,PSZ2G071.63+29.78,,,851995.838541198,5813741550.090197,,5813741550.090197
PSZ2 G072.62+41.46,250.08399963379,46.70867156982,0.22546481135535965,1277.5496633228834,1553134643958553.2,PSZ2G072.62+41.46,9.59,6.73,1277549.6633228834,42248708779.85615,3090545781.6807766,3090545781.6807766
PSZ2 G073.97-27.82,328.40322875977,17.6950340271,0.2287297266975715,1349.280502656397,1817184659545376.5,PSZ2G073.97-27.82,,,1349280.502656397,55138164033.1598,,55138164033.1598
PSZ2 G075.71+13.51,290.30172729492,43.94739532471,0.054549546886114,1722.8194667788111,3355671931176832.5,PSZ2G075.71+13.51,,,1722819.466778811,165999884396.22147,,165999884396.22147
PSZ2 G077.90-26.63,330.22174072266,20.97195053101,0.1447869538391609,945.085235345084,630530899091714.2,PSZ2G077.90-26.63,5.34,7.46,945085.235345084,9386357266.54502,698642655.8661832,698642655.8661832
PSZ2 G080.16+57.65,225.28309631348,47.27728652954,0.08823601041670942,619.3990686565054,196326088406442.4,PSZ2G080.16+57.65,,,619399.0686565054,1255358765.6721551,,1255358765.6721551
PSZ2 G080.41-33.24,336.52453613281,17.36433982849,0.10998968331047865,830.3941421043827,405462560788869.56,PSZ2G080.41-33.24,,,830394.1421043827,4659808424.906656,,4659808424.906656
PSZ2 G083.29-31.03,337.13873291016,20.62008857727,0.4120774274047632,1165.7577125358687,1039644686827644.8,PSZ2G083.29-31.03,,,1165757.7125358686,23547796978.186153,,23547796978.186153
PSZ2 G083.86+85.09,196.46211242676,30.89539527893,0.18438900124281313,663.7469896100794,231381792790915.78,PSZ2G083.86+85.09,5.35,6.04,663746.9896100793,1698959632.554085,256856423.36933926,256856423.36933926
PSZ2 G087.03-57.37,354.40710449219,0.26747912169,0.2761041421717525,1060.3995549911292,857699385566476.2,PSZ2G087.03-57.37,,,1060399.5549911293,16073961440.974125,,16073961440.974125
PSZ2 G092.71+73.46,203.82476806641,41.00031280518,0.23161509169942274,1347.6651846364632,1825572723080105.2,PSZ2G092.71+73.46,,,1347665.1846364632,55260130442.02862,,55260130442.02862
PSZ2 G098.44+56.59,216.85356140137,55.74861526489,0.13120785350073935,602.3947900048153,174396878575365.78,PSZ2G098.44+56.59,,,602394.7900048152,1054750818.9765488,,1054750818.9765488
PSZ2 G099.48+55.60,217.16003417969,56.86017227173,0.10576935084572754,699.4986483205796,285746770782526.3,PSZ2G099.48+55.60,,,699498.6483205796,2330257100.56836,,2330257100.56836
PSZ2 G105.55+77.21,197.77075195312,39.22397613525,0.07240264364856688,803.506539489607,415576931184752.56,PSZ2G105.55+77.21,,,803506.539489607,4471765414.821973,,4471765414.821973
PSZ2 G106.87-83.23,10.8533782959,-20.6235408783,0.2920368668355407,1279.3905695151798,1201078011228897.5,PSZ2G106.87-83.23,,,1279390.5695151798,32766213456.406956,,32766213456.406956
